TrainOrTest,Data,Sample Size,Median,OW,OW*,CWM,CEWM,SSIN,SSDE,RegE,RegC,RegS,Lambda_RegE,Lambda_RegC,Lambda_RegS
Test,9,2,0.0003,-0.8693,-0.0221,0.0155,0.0184,-0.0221,-0.0221,-0.1423,0.0155,-0.0221,16.00,100000.00,100000.00
Test,9,3,0.0004,-0.0796,0.0186,0.0189,0.0181,0.0181,0.0181,0.0000,0.0189,0.0181,100000.00,100000.00,100000.00
Test,9,4,-0.0225,-1.5704,0.0552,0.0388,0.0145,0.0552,0.0552,-0.0040,0.0262,0.0552,100.00,100.00,23900.00
Test,9,5,-0.0226,-1.6296,0.0550,0.0387,0.0141,0.0550,0.0550,-0.0050,0.0301,0.0550,100.00,100.00,200.00
Test,9,6,-0.0274,-1.3187,0.0007,-0.0010,-0.0070,0.0007,0.0007,-1.0412,-1.0758,-1.0757,7.00,7.00,7.00
Test,9,7,-0.0281,-1.3351,0.0023,-0.0003,-0.0078,0.0023,0.0023,-1.0059,-1.0666,-1.0665,8.00,7.00,7.00
Test,9,8,-0.0399,-2.2595,-0.1126,-0.1042,-0.0862,-0.1126,-0.1126,-2.0169,-2.1319,-2.1318,6.00,5.00,5.00
Test,9,9,-0.2842,-6.2724,-0.4344,-0.4667,-0.5460,-0.4344,-0.4344,-6.1688,-6.3180,-6.3176,5.00,6.00,6.00
Test,10,1,-0.0051,-0.7747,-0.0118,0.0009,0.0003,-0.0022,-0.0022,0.0000,0.0009,-0.0022,12100.00,100000.00,100000.00
Test,10,2,-0.0051,-0.4340,-0.0118,0.0003,0.0002,-0.0022,-0.0022,0.0000,0.0003,-0.0022,7600.00,7500.00,7400.00
Test,10,3,-0.0071,-1.0216,-0.0044,-0.0077,-0.0101,-0.0044,-0.0044,0.0000,-0.0077,-0.0044,100000.00,100000.00,100000.00
Test,10,4,-0.0071,-0.3060,-0.0045,-0.0061,-0.0001,-0.0045,-0.0045,0.0000,-0.0061,-0.0045,100000.00,100000.00,100000.00
Test,10,5,-0.0074,-0.3279,-0.0064,-0.0080,-0.0117,-0.0064,-0.0064,0.0000,-0.0080,-0.0064,18600.00,17700.00,18200.00
Test,10,6,-0.0072,-0.0512,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,0.0000,-0.0099,-0.0099,16700.00,20200.00,20200.00
Test,10,7,-0.0073,-0.0445,-0.0095,-0.0095,-0.0095,-0.0095,-0.0095,0.0000,-0.0095,-0.0095,16200.00,14100.00,14100.00
Test,10,8,-0.0009,-0.0075,NA,-0.0013,-0.0013,-0.0013,-0.0013,0.0000,-0.0013,-0.0013,78200.00,68900.00,68900.00
Test,10,9,-0.0033,0.0425,NA,0.0006,0.0006,0.0006,0.0006,0.0000,0.0006,0.0006,98700.00,90000.00,90000.00
Test,11,1,-0.0045,-1.3688,-0.0128,-0.0128,-0.0084,-0.0128,-0.0128,0.0000,-0.0128,-0.0128,10400.00,10100.00,10100.00
Test,11,2,-0.0045,-1.1975,-0.0129,-0.0129,-0.0129,-0.0129,-0.0129,0.0000,-0.0129,-0.0129,10800.00,10500.00,10500.00
Test,11,3,-0.0065,-3.4406,-0.0203,-0.0153,-0.0103,-0.0203,-0.0203,0.0000,-0.0153,-0.0203,20200.00,20200.00,20300.00
Test,11,4,-0.0065,-2.5444,-0.0204,-0.0143,-0.0104,-0.0204,-0.0204,0.0000,-0.0143,-0.0204,18100.00,17900.00,17800.00
Test,11,5,-0.0073,-0.0301,-0.0058,-0.0062,-0.0112,-0.0058,-0.0058,0.0000,-0.0062,-0.0058,100000.00,19800.00,19900.00
Test,11,6,-0.0096,0.0185,-0.0181,0.0078,0.0123,-0.0181,-0.0181,0.0000,0.0078,-0.0181,26900.00,25500.00,99300.00
Test,11,7,-0.0097,0.0635,NA,0.0076,0.0123,-0.0180,-0.0180,0.0000,0.0076,-0.0180,93500.00,93300.00,98600.00
Test,11,8,-0.0046,0.2168,NA,0.0253,0.0253,0.0253,0.0253,0.0000,0.0253,0.0253,98200.00,62300.00,62300.00
Test,11,9,-0.0083,0.0011,NA,0.0095,0.0095,0.0095,0.0095,0.1297,0.1177,0.1177,50900.00,50500.00,50500.00
Test,12,1,-0.0074,-2.3506,-0.0204,-0.0039,0.0032,-0.0204,-0.0204,-0.0839,-0.0915,-0.1054,10100.00,9900.00,9900.00
Test,12,2,-0.0074,-1.8828,-0.0205,-0.0043,0.0032,-0.0205,-0.0205,0.0000,-0.0043,-0.0205,100000.00,100000.00,100000.00
Test,12,3,-0.0105,-0.9088,-0.0288,-0.0114,0.0043,-0.0288,-0.0288,0.0000,-0.0114,-0.0288,68600.00,68900.00,64000.00
Test,12,4,-0.0106,-0.3453,-0.0155,-0.0080,-0.0016,-0.0288,-0.0288,0.0000,-0.0080,-0.0288,100000.00,100000.00,100000.00
Test,12,5,-0.0122,-0.1067,0.0363,0.0183,-0.0021,0.0376,0.0376,0.0000,0.0183,0.0376,92800.00,38700.00,54700.00
Test,12,6,-0.0137,0.1502,0.0447,0.0384,0.0231,0.0447,0.0447,0.0000,0.0384,0.0447,85800.00,88900.00,93200.00
Test,12,7,-0.0138,0.1374,0.0446,0.0374,0.0230,0.0446,0.0446,0.0000,0.0374,0.0446,99400.00,93400.00,63000.00
Test,12,8,-0.0010,0.0553,NA,0.0108,0.0108,0.0108,0.0108,-0.0303,0.0018,0.0018,27700.00,79600.00,79600.00
Test,12,9,-0.0079,-0.0069,NA,0.0076,0.0076,0.0076,0.0076,0.0998,0.0701,0.0701,45500.00,69000.00,69000.00
Test,13,1,-0.0102,-1.2698,-0.0244,-0.0145,0.0062,-0.0244,-0.0244,0.0000,-0.0145,-0.0244,100000.00,100000.00,100000.00
Test,13,2,-0.0102,-0.5033,-0.0245,-0.0167,0.0062,-0.0245,-0.0245,-0.0139,-0.0167,-0.0245,13800.00,94900.00,80400.00
Test,13,3,-0.0141,-0.7809,-0.0256,-0.0249,-0.0248,-0.0248,-0.0248,-0.4056,-0.4166,-0.4166,9100.00,9000.00,9000.00
Test,13,4,-0.0152,-0.4903,-0.0185,-0.0131,0.0005,-0.0185,-0.0185,-0.3941,-0.3941,-0.3954,7200.00,7200.00,7100.00
Test,13,5,-0.0169,-0.2879,-0.0216,0.0131,0.0002,-0.0216,-0.0216,-0.0901,-0.0814,-0.0757,31300.00,32200.00,33500.00
Test,13,6,-0.0204,0.2215,0.0666,0.0666,0.0666,0.0666,0.0666,0.0000,0.0666,0.0666,67100.00,82500.00,82500.00
Test,13,7,-0.0204,0.2189,0.0667,0.0667,0.0667,0.0667,0.0667,0.0000,0.0667,0.0667,94000.00,96700.00,96700.00
Test,13,8,-0.0075,0.1395,NA,0.0444,0.0444,0.0444,0.0444,0.1681,0.1704,0.1704,14900.00,17500.00,17500.00
Test,13,9,-0.0057,-0.2208,NA,0.0158,0.0158,0.0158,0.0158,0.0160,0.0372,0.0372,38600.00,45300.00,45300.00
Test,14,1,-0.0064,-0.6301,-0.0229,-0.0103,0.0090,-0.0229,-0.0229,0.0000,-0.0103,-0.0229,99600.00,97600.00,97700.00
Test,14,2,-0.0070,-0.3291,-0.0255,-0.0224,0.0042,-0.0255,-0.0255,-0.1423,-0.1601,-0.1644,10800.00,10500.00,10300.00
Test,14,3,-0.0092,-0.9452,-0.0166,-0.0219,0.0042,-0.0166,-0.0166,-0.6509,-0.6359,-0.6745,6000.00,6200.00,5700.00
Test,14,4,-0.0102,-0.5445,-0.0208,0.0109,0.0033,-0.0208,-0.0208,-0.3850,-0.3842,-0.3802,12800.00,12800.00,13100.00
Test,14,5,-0.0107,-0.1909,-0.0237,0.0251,0.0219,0.0624,0.0624,-0.0702,-0.0624,-0.0623,29600.00,29900.00,29900.00
Test,14,6,-0.0131,0.2220,NA,0.0768,0.0768,0.0768,0.0768,0.0000,0.0768,0.0768,100000.00,100000.00,100000.00
Test,14,7,-0.0132,0.2726,NA,0.0769,0.0769,0.0769,0.0769,0.0000,0.0769,0.0769,100000.00,100000.00,100000.00
Test,14,8,-0.0021,0.1729,NA,0.0548,0.0548,0.0548,0.0548,0.1899,0.2062,0.2062,53800.00,51400.00,51400.00
Test,14,9,0.0092,-0.3162,NA,0.0439,0.0439,0.0439,0.0439,-0.0029,0.0423,0.0423,86800.00,91800.00,91800.00
Test,15,1,-0.0043,-0.1263,-0.0224,-0.0028,0.0109,-0.0224,-0.0224,-0.0189,-0.0251,-0.0447,18700.00,17600.00,17400.00
Test,15,2,-0.0049,-0.5797,-0.0260,-0.0187,0.0044,-0.0260,-0.0260,-0.2142,-0.2195,-0.2197,17900.00,18100.00,18100.00
Test,15,3,-0.0061,-2.0862,-0.0246,-0.0244,-0.0257,-0.0246,-0.0246,-1.9414,-1.9415,-1.9416,1600.00,1600.00,1600.00
Test,15,4,-0.0061,-0.8516,-0.0298,0.0025,0.0189,-0.0298,-0.0298,-0.6040,-0.6143,-0.6143,19600.00,18800.00,18800.00
Test,15,5,-0.0059,-0.4360,-0.0335,0.0158,0.0202,-0.0335,-0.0335,-0.2415,-0.2474,-0.2475,33700.00,31900.00,31900.00
Test,15,6,-0.0085,0.0187,NA,0.0812,0.0812,0.0812,0.0812,0.1409,0.1679,0.1679,61100.00,61700.00,61700.00
Test,15,7,-0.0077,0.1919,NA,0.0875,0.0875,0.0875,0.0875,0.2330,0.0875,0.0875,12200.00,100000.00,100000.00
Test,15,8,-0.0011,0.1825,NA,0.0669,0.0669,0.0669,0.0669,0.1942,0.2066,0.2066,60500.00,61100.00,61100.00
Test,15,9,0.0023,-0.1430,NA,0.0433,0.0433,0.0433,0.0433,-0.0276,-0.0277,-0.0277,100000.00,100000.00,100000.00
Test,16,1,-0.0038,-3.9460,-0.0144,0.0070,0.0126,-0.0144,-0.0144,-5.1298,-5.1016,-5.0571,2200.00,2200.00,2200.00
Test,16,2,-0.0038,-1.3365,-0.0175,-0.0171,-0.0167,-0.0200,-0.0200,-1.0144,-1.0145,-1.0138,8500.00,8400.00,8700.00
Test,16,3,-0.0052,-2.2363,-0.0329,-0.0294,-0.0255,-0.0329,-0.0329,-1.3683,-1.3729,-1.3876,15500.00,15400.00,15100.00
